127.0.0.1 - - [29/May/2018:19:37:15 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [29/May/2018:19:37:16 +0530] "GET /spademo/index.html HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [29/May/2018:19:37:17 +0530] "GET /spademo/js/controller.js HTTP/1.1" 200 2523
0:0:0:0:0:0:0:1 - - [29/May/2018:19:37:17 +0530] "GET /spademo/js/app.js HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [29/May/2018:19:37:17 +0530] "GET /spademo/js/service.js HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [29/May/2018:19:37:17 +0530] "GET /spademo/js/updatestudentcontroller.js HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [29/May/2018:19:38:47 +0530] "GET /spademo/index.html HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [29/May/2018:19:38:48 +0530] "GET /spademo/js/app.js HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [29/May/2018:19:38:48 +0530] "GET /spademo/js/service.js HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [29/May/2018:19:38:48 +0530] "GET /spademo/js/updatestudentcontroller.js HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [29/May/2018:19:38:48 +0530] "GET /spademo/js/controller.js HTTP/1.1" 200 2523
0:0:0:0:0:0:0:1 - - [29/May/2018:19:38:48 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [29/May/2018:19:38:48 +0530] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [29/May/2018:19:38:50 +0530] "GET /spademo/views/studentlist.html HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [29/May/2018:19:38:51 +0530] "GET /restcruddemomiddleware/getallstudents HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [29/May/2018:19:39:08 +0530] "GET /spademo/views/studentform.html HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [29/May/2018:19:39:08 +0530] "GET /spademo/js/app.js HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [29/May/2018:19:39:08 +0530] "GET /spademo/js/controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:19:39:08 +0530] "GET /spademo/js/service.js HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [29/May/2018:19:39:08 +0530] "GET /restcruddemomiddleware/getallstudents HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [29/May/2018:19:39:10 +0530] "GET /spademo/views/aboutus.html HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [29/May/2018:19:39:11 +0530] "GET /spademo/views/home.html HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [29/May/2018:19:39:17 +0530] "GET /restcruddemomiddleware/getallstudents HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [29/May/2018:19:46:58 +0530] "GET /spademo/index.html HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [29/May/2018:19:46:58 +0530] "GET /spademo/js/app.js HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [29/May/2018:19:46:58 +0530] "GET /spademo/js/service.js HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [29/May/2018:19:46:58 +0530] "GET /spademo/js/controller.js HTTP/1.1" 200 2536
0:0:0:0:0:0:0:1 - - [29/May/2018:19:46:58 +0530] "GET /spademo/js/updatestudentcontroller.js HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [29/May/2018:19:47:01 +0530] "GET /spademo/views/studentform.html HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [29/May/2018:19:47:01 +0530] "GET /spademo/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:19:47:02 +0530] "GET /spademo/js/controller.js HTTP/1.1" 200 2536
0:0:0:0:0:0:0:1 - - [29/May/2018:19:47:02 +0530] "GET /spademo/js/service.js HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [29/May/2018:19:47:02 +0530] "GET /restcruddemomiddleware/getallstudents HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [29/May/2018:19:47:02 +0530] "GET /restcruddemomiddleware/getallstudents HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [29/May/2018:19:47:04 +0530] "GET /spademo/views/studentlist.html HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [29/May/2018:19:47:04 +0530] "GET /restcruddemomiddleware/getallstudents HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [29/May/2018:19:47:09 +0530] "GET /spademo/views/updatestudentform.html HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [29/May/2018:19:48:28 +0530] "GET /spademo/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:19:48:28 +0530] "GET /spademo/js/controller.js HTTP/1.1" 200 2536
0:0:0:0:0:0:0:1 - - [29/May/2018:19:48:28 +0530] "GET /spademo/js/service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:19:48:28 +0530] "GET /restcruddemomiddleware/getallstudents HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [29/May/2018:19:48:28 +0530] "GET /restcruddemomiddleware/getallstudents HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [29/May/2018:19:48:30 +0530] "GET /restcruddemomiddleware/getallstudents HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [29/May/2018:19:48:58 +0530] "GET /spademo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:19:48:58 +0530] "GET /spademo/js/controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:19:48:58 +0530] "GET /spademo/js/service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:19:48:58 +0530] "GET /spademo/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:19:48:58 +0530] "GET /spademo/js/updatestudentcontroller.js HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [29/May/2018:19:49:01 +0530] "GET /spademo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:19:49:01 +0530] "GET /spademo/js/controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:19:49:01 +0530] "GET /spademo/js/service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:19:49:01 +0530] "GET /spademo/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:19:49:01 +0530] "GET /spademo/js/updatestudentcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:19:49:05 +0530] "GET /spademo/views/aboutus.html HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [29/May/2018:19:49:06 +0530] "GET /spademo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:19:49:06 +0530] "GET /spademo/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:19:49:06 +0530] "GET /spademo/js/service.js HTTP/1.1" 304 -
